"id","num_of_k","size_of_vector","diff","lower_label","higher_label","should_be_zero"
1,1,300,228,0,0,228
2,1,320,62,0,0,62
3,1,340,55,0,1,54
4,1,360,188,0,0,188
5,1,380,57,0,0,57
6,1,400,55,0,0,55
7,1,420,887,0,2,885
8,1,440,59,0,0,59
9,1,460,59,0,0,59
10,1,480,132,0,0,132
11,1,500,45,0,0,45
12,1,520,50,0,0,50
13,1,540,121,0,0,121
14,1,560,287,0,0,287
15,1,580,29,0,0,29
16,1,600,118,0,0,118
17,2,300,67,0,0,67
18,2,320,5,0,0,5
19,2,340,8,0,0,8
20,2,360,61,0,0,61
21,2,380,7,0,0,7
22,2,400,2,0,0,2
23,2,420,735,0,0,735
24,2,440,4,0,0,4
25,2,460,3,0,0,3
26,2,480,26,0,0,26
27,2,500,4,0,0,4
28,2,520,1,0,0,1
29,2,540,27,0,0,27
30,2,560,111,0,0,111
31,2,580,0,0,0,0
32,2,600,29,0,0,29
33,3,300,36,0,0,36
34,3,320,1,0,0,1
35,3,340,0,0,0,0
36,3,360,19,0,0,19
37,3,380,0,0,0,0
38,3,400,2,0,0,2
39,3,420,835,0,1,834
40,3,440,0,0,0,0
41,3,460,1,0,0,1
42,3,480,8,0,0,8
43,3,500,2,0,0,2
44,3,520,1,0,0,1
45,3,540,6,0,0,6
46,3,560,58,0,0,58
47,3,580,1,0,0,1
48,3,600,9,0,0,9
49,4,300,23,0,0,23
50,4,320,0,0,0,0
51,4,340,1,0,0,1
52,4,360,15,0,0,15
53,4,380,1,0,0,1
54,4,400,0,0,0,0
55,4,420,1278,0,1,1277
56,4,440,0,0,0,0
57,4,460,0,0,0,0
58,4,480,4,0,0,4
59,4,500,0,0,0,0
60,4,520,0,0,0,0
61,4,540,2,0,0,2
62,4,560,54,0,0,54
63,4,580,0,0,0,0
64,4,600,5,0,0,5
65,5,300,7,0,0,7
66,5,320,0,0,0,0
67,5,340,0,0,0,0
68,5,360,11,0,0,11
69,5,380,0,0,0,0
70,5,400,0,0,0,0
71,5,420,849,0,1,848
72,5,440,0,0,0,0
73,5,460,0,0,0,0
74,5,480,3,0,0,3
75,5,500,0,0,0,0
76,5,520,0,0,0,0
77,5,540,1,0,0,1
78,5,560,39,0,0,39
79,5,580,0,0,0,0
80,5,600,1,0,0,1
81,6,300,24,0,0,24
82,6,320,0,0,0,0
83,6,340,0,0,0,0
84,6,360,8,0,0,8
85,6,380,0,0,0,0
86,6,400,0,0,0,0
87,6,420,1810,0,0,1810
88,6,440,0,0,0,0
89,6,460,0,0,0,0
90,6,480,4,0,0,4
91,6,500,0,0,0,0
92,6,520,0,0,0,0
93,6,540,0,0,0,0
94,6,560,65,0,0,65
95,6,580,0,0,0,0
96,6,600,2,0,0,2
97,7,300,23,0,0,23
98,7,320,0,0,0,0
99,7,340,0,0,0,0
100,7,360,8,0,0,8
101,7,380,0,0,0,0
102,7,400,0,0,0,0
103,7,420,2470,0,1,2469
104,7,440,0,0,0,0
105,7,460,0,0,0,0
106,7,480,0,0,0,0
107,7,500,0,0,0,0
108,7,520,0,0,0,0
109,7,540,0,0,0,0
110,7,560,25,0,0,25
111,7,580,0,0,0,0
112,7,600,1,0,0,1
113,8,300,5,0,0,5
114,8,320,0,0,0,0
115,8,340,0,0,0,0
116,8,360,6,0,0,6
117,8,380,0,0,0,0
118,8,400,0,0,0,0
119,8,420,1671,0,0,1671
120,8,440,0,0,0,0
121,8,460,0,0,0,0
122,8,480,0,0,0,0
123,8,500,0,0,0,0
124,8,520,0,0,0,0
125,8,540,0,0,0,0
126,8,560,41,0,0,41
127,8,580,0,0,0,0
128,8,600,0,0,0,0
129,9,300,22,0,0,22
130,9,320,0,0,0,0
131,9,340,0,0,0,0
132,9,360,2,0,0,2
133,9,380,0,0,0,0
134,9,400,0,0,0,0
135,9,420,2472,0,3,2469
136,9,440,0,0,0,0
137,9,460,0,0,0,0
138,9,480,0,0,0,0
139,9,500,0,0,0,0
140,9,520,0,0,0,0
141,9,540,1,0,0,1
142,9,560,40,0,0,40
143,9,580,0,0,0,0
144,9,600,0,0,0,0
145,10,300,11,0,0,11
146,10,320,0,0,0,0
147,10,340,0,0,0,0
148,10,360,6,0,0,6
149,10,380,0,0,0,0
150,10,400,0,0,0,0
151,10,420,2470,0,1,2469
152,10,440,0,0,0,0
153,10,460,0,0,0,0
154,10,480,0,0,0,0
155,10,500,0,0,0,0
156,10,520,0,0,0,0
157,10,540,0,0,0,0
158,10,560,31,0,0,31
159,10,580,0,0,0,0
160,10,600,0,0,0,0
161,11,300,25,0,0,25
162,11,320,0,0,0,0
163,11,340,0,0,0,0
164,11,360,8,0,0,8
165,11,380,0,0,0,0
166,11,400,0,0,0,0
167,11,420,2469,0,0,2469
168,11,440,0,0,0,0
169,11,460,0,0,0,0
170,11,480,0,0,0,0
171,11,500,0,0,0,0
172,11,520,0,0,0,0
173,11,540,0,0,0,0
174,11,560,167,0,0,167
175,11,580,0,0,0,0
176,11,600,0,0,0,0
177,12,300,25,0,0,25
178,12,320,0,0,0,0
179,12,340,0,0,0,0
180,12,360,1,0,0,1
181,12,380,0,0,0,0
182,12,400,0,0,0,0
183,12,420,2471,0,2,2469
184,12,440,0,0,0,0
185,12,460,0,0,0,0
186,12,480,2,0,0,2
187,12,500,0,0,0,0
188,12,520,0,0,0,0
189,12,540,0,0,0,0
190,12,560,247,0,0,247
191,12,580,0,0,0,0
192,12,600,0,0,0,0
193,13,300,41,0,0,41
194,13,320,0,0,0,0
195,13,340,0,0,0,0
196,13,360,8,0,0,8
197,13,380,0,0,0,0
198,13,400,0,0,0,0
199,13,420,2470,0,1,2469
200,13,440,0,0,0,0
201,13,460,0,0,0,0
202,13,480,0,0,0,0
203,13,500,0,0,0,0
204,13,520,0,0,0,0
205,13,540,0,0,0,0
206,13,560,139,0,0,139
207,13,580,0,0,0,0
208,13,600,0,0,0,0
209,14,300,40,0,0,40
210,14,320,0,0,0,0
211,14,340,0,0,0,0
212,14,360,8,0,0,8
213,14,380,0,0,0,0
214,14,400,0,0,0,0
215,14,420,2471,0,2,2469
216,14,440,0,0,0,0
217,14,460,0,0,0,0
218,14,480,1,0,0,1
219,14,500,0,0,0,0
220,14,520,0,0,0,0
221,14,540,0,0,0,0
222,14,560,171,0,0,171
223,14,580,0,0,0,0
224,14,600,0,0,0,0
225,15,300,16,0,0,16
226,15,320,0,0,0,0
227,15,340,0,0,0,0
228,15,360,13,0,0,13
229,15,380,0,0,0,0
230,15,400,0,0,0,0
231,15,420,2469,0,0,2469
232,15,440,0,0,0,0
233,15,460,0,0,0,0
234,15,480,0,0,0,0
235,15,500,0,0,0,0
236,15,520,0,0,0,0
237,15,540,1,0,0,1
238,15,560,279,0,0,279
239,15,580,0,0,0,0
240,15,600,0,0,0,0
241,16,300,14,0,0,14
242,16,320,0,0,0,0
243,16,340,0,0,0,0
244,16,360,1,0,0,1
245,16,380,0,0,0,0
246,16,400,0,0,0,0
247,16,420,2471,0,2,2469
248,16,440,0,0,0,0
249,16,460,0,0,0,0
250,16,480,0,0,0,0
251,16,500,0,0,0,0
252,16,520,0,0,0,0
253,16,540,0,0,0,0
254,16,560,56,0,0,56
255,16,580,0,0,0,0
256,16,600,0,0,0,0
257,17,300,57,0,0,57
258,17,320,0,0,0,0
259,17,340,0,0,0,0
260,17,360,18,0,0,18
261,17,380,0,0,0,0
262,17,400,0,0,0,0
263,17,420,2473,0,4,2469
264,17,440,0,0,0,0
265,17,460,0,0,0,0
266,17,480,1,0,0,1
267,17,500,0,0,0,0
268,17,520,0,0,0,0
269,17,540,0,0,0,0
270,17,560,193,0,0,193
271,17,580,0,0,0,0
272,17,600,0,0,0,0
273,18,300,50,0,0,50
274,18,320,0,0,0,0
275,18,340,0,0,0,0
276,18,360,44,0,0,44
277,18,380,0,0,0,0
278,18,400,0,0,0,0
279,18,420,2473,0,4,2469
280,18,440,0,0,0,0
281,18,460,0,0,0,0
282,18,480,2,0,0,2
283,18,500,0,0,0,0
284,18,520,0,0,0,0
285,18,540,0,0,0,0
286,18,560,365,0,0,365
287,18,580,0,0,0,0
288,18,600,0,0,0,0
289,19,300,37,0,0,37
290,19,320,0,0,0,0
291,19,340,0,0,0,0
292,19,360,17,0,0,17
293,19,380,0,0,0,0
294,19,400,0,0,0,0
295,19,420,2473,0,4,2469
296,19,440,0,0,0,0
297,19,460,0,0,0,0
298,19,480,1,0,0,1
299,19,500,0,0,0,0
300,19,520,0,0,0,0
301,19,540,0,0,0,0
302,19,560,433,0,0,433
303,19,580,0,0,0,0
304,19,600,0,0,0,0
305,20,300,124,0,0,124
306,20,320,0,0,0,0
307,20,340,0,0,0,0
308,20,360,39,0,0,39
309,20,380,0,0,0,0
310,20,400,0,0,0,0
311,20,420,2473,0,4,2469
312,20,440,0,0,0,0
313,20,460,0,0,0,0
314,20,480,1,0,0,1
315,20,500,0,0,0,0
316,20,520,0,0,0,0
317,20,540,0,0,0,0
318,20,560,546,0,0,546
319,20,580,0,0,0,0
320,20,600,0,0,0,0
321,21,300,66,0,0,66
322,21,320,0,0,0,0
323,21,340,0,0,0,0
324,21,360,9,0,0,9
325,21,380,0,0,0,0
326,21,400,0,0,0,0
327,21,420,2471,0,2,2469
328,21,440,0,0,0,0
329,21,460,0,0,0,0
330,21,480,0,0,0,0
331,21,500,0,0,0,0
332,21,520,0,0,0,0
333,21,540,0,0,0,0
334,21,560,630,0,0,630
335,21,580,0,0,0,0
336,21,600,0,0,0,0
337,22,300,27,0,0,27
338,22,320,0,0,0,0
339,22,340,0,0,0,0
340,22,360,40,0,0,40
341,22,380,0,0,0,0
342,22,400,0,0,0,0
343,22,420,2473,0,4,2469
344,22,440,0,0,0,0
345,22,460,0,0,0,0
346,22,480,0,0,0,0
347,22,500,0,0,0,0
348,22,520,0,0,0,0
349,22,540,1,0,0,1
350,22,560,1040,0,0,1040
351,22,580,0,0,0,0
352,22,600,0,0,0,0
353,23,300,125,0,0,125
354,23,320,0,0,0,0
355,23,340,0,0,0,0
356,23,360,26,0,0,26
357,23,380,0,0,0,0
358,23,400,0,0,0,0
359,23,420,2473,0,4,2469
360,23,440,0,0,0,0
361,23,460,0,0,0,0
362,23,480,0,0,0,0
363,23,500,0,0,0,0
364,23,520,0,0,0,0
365,23,540,1,0,0,1
366,23,560,155,0,0,155
367,23,580,0,0,0,0
368,23,600,0,0,0,0
369,24,300,167,0,0,167
370,24,320,0,0,0,0
371,24,340,0,0,0,0
372,24,360,19,0,0,19
373,24,380,0,0,0,0
374,24,400,0,0,0,0
375,24,420,2473,0,4,2469
376,24,440,0,0,0,0
377,24,460,0,0,0,0
378,24,480,1,0,0,1
379,24,500,0,0,0,0
380,24,520,0,0,0,0
381,24,540,0,0,0,0
382,24,560,199,0,0,199
383,24,580,0,0,0,0
384,24,600,0,0,0,0
385,25,300,145,0,0,145
386,25,320,0,0,0,0
387,25,340,0,0,0,0
388,25,360,22,0,0,22
389,25,380,0,0,0,0
390,25,400,0,0,0,0
391,25,420,2473,0,4,2469
392,25,440,0,0,0,0
393,25,460,0,0,0,0
394,25,480,6,0,0,6
395,25,500,0,0,0,0
396,25,520,0,0,0,0
397,25,540,0,0,0,0
398,25,560,1813,0,0,1813
399,25,580,0,0,0,0
400,25,600,0,0,0,0
401,26,300,38,0,0,38
402,26,320,0,0,0,0
403,26,340,0,0,0,0
404,26,360,62,0,0,62
405,26,380,0,0,0,0
406,26,400,0,0,0,0
407,26,420,2473,0,4,2469
408,26,440,0,0,0,0
409,26,460,0,0,0,0
410,26,480,3,0,0,3
411,26,500,0,0,0,0
412,26,520,0,0,0,0
413,26,540,2,0,0,2
414,26,560,893,0,0,893
415,26,580,0,0,0,0
416,26,600,0,0,0,0
417,27,300,380,0,0,380
418,27,320,0,0,0,0
419,27,340,0,0,0,0
420,27,360,58,0,0,58
421,27,380,0,0,0,0
422,27,400,0,0,0,0
423,27,420,2473,0,4,2469
424,27,440,0,0,0,0
425,27,460,0,0,0,0
426,27,480,2,0,0,2
427,27,500,0,0,0,0
428,27,520,0,0,0,0
429,27,540,0,0,0,0
430,27,560,291,0,0,291
431,27,580,0,0,0,0
432,27,600,1,0,0,1
433,28,300,320,0,0,320
434,28,320,0,0,0,0
435,28,340,0,0,0,0
436,28,360,108,0,0,108
437,28,380,0,0,0,0
438,28,400,0,0,0,0
439,28,420,2473,0,4,2469
440,28,440,0,0,0,0
441,28,460,0,0,0,0
442,28,480,2,0,0,2
443,28,500,0,0,0,0
444,28,520,0,0,0,0
445,28,540,0,0,0,0
446,28,560,846,0,0,846
447,28,580,0,0,0,0
448,28,600,0,0,0,0
449,29,300,48,0,0,48
450,29,320,0,0,0,0
451,29,340,0,0,0,0
452,29,360,170,0,0,170
453,29,380,0,0,0,0
454,29,400,0,0,0,0
455,29,420,2474,0,5,2469
456,29,440,0,0,0,0
457,29,460,0,0,0,0
458,29,480,0,0,0,0
459,29,500,0,0,0,0
460,29,520,0,0,0,0
461,29,540,1,0,0,1
462,29,560,1159,0,0,1159
463,29,580,0,0,0,0
464,29,600,0,0,0,0
465,30,300,46,0,0,46
466,30,320,0,0,0,0
467,30,340,0,0,0,0
468,30,360,159,0,0,159
469,30,380,0,0,0,0
470,30,400,0,0,0,0
471,30,420,2473,0,4,2469
472,30,440,0,0,0,0
473,30,460,0,0,0,0
474,30,480,17,0,0,17
475,30,500,0,0,0,0
476,30,520,0,0,0,0
477,30,540,2,0,0,2
478,30,560,1693,0,0,1693
479,30,580,0,0,0,0
480,30,600,0,0,0,0
